With CPU: 0, 192.168.143.246:43052 ->   137.226.34.46:80    | Duration: 0.244123127 s
With CPU: 0, 192.168.143.246:40284 -> 130.192.181.230:443   | Duration: 5.219493615 s
With CPU: 0, 192.168.143.246:44750 ->   130.192.95.68:443   | Duration: 9.804791219 s
With CPU: 0, 192.168.143.246:44740 ->   130.192.95.68:443   | Duration: 10.108454423 s
With CPU: 0, 192.168.143.246:44722 ->   130.192.95.68:443   | Duration: 16.002086138 s
With CPU: 0, 192.168.143.246:33726 ->  130.192.55.240:443   | Duration: 6.504344594 s
With CPU: 0, 192.168.143.246:33722 ->  130.192.55.240:443   | Duration: 7.714727185 s
With CPU: 0, 192.168.143.246:33730 ->  130.192.55.240:443   | Duration: 5.367036779 s
With CPU: 0, 192.168.143.246:59198 ->  130.192.55.142:443   | Duration: 9.838955697 s
With CPU: 0, 192.168.143.246:53894 ->  130.192.55.225:443   | Duration: 5.686794536 s
With CPU: 0, 192.168.143.246:53878 ->  130.192.55.225:443   | Duration: 5.833873822 s
With CPU: 0, 192.168.143.246:47998 ->  149.154.167.91:80    | Duration: 0.120707888 s
With CPU: 0, 192.168.143.246:59046 ->  149.154.167.99:443   | Duration: 0.296565864 s
With CPU: 0, 192.168.143.246:38030 -> 149.154.165.120:80    | Duration: 0.118795023 s
With CPU: 0, 192.168.143.246:54612 ->  149.154.167.41:80    | Duration: 0.113446973 s
With CPU: 0, 192.168.143.246:38046 -> 149.154.165.120:80    | Duration: 0.4295045 s
With CPU: 0, 192.168.143.246:59210 ->  130.192.55.142:443   | Duration: 30.220416263 s
With CPU: 0, 192.168.143.246:33300 -> 149.154.165.120:443   | Duration: 13.734956719 s
With CPU: 0, 192.168.143.246:33296 -> 149.154.165.120:443   | Duration: 15.170637445 s
With CPU: 0, 192.168.143.246:46320 ->  149.154.167.41:443   | Duration: 15.137753008 s
With CPU: 0, 192.168.143.246:49478 ->  149.154.167.91:443   | Duration: 16.179001928 s
With CPU: 0, 192.168.143.246:51260 -> 185.199.108.133:80    | Duration: 0.102290794 s
With CPU: 0, 192.168.143.246:33744 ->  130.192.55.240:443   | Duration: 30.200992359 s
With CPU: 0, 192.168.143.246:51986 ->  149.154.167.91:80    | Duration: 0.111324591 s
With CPU: 0, 192.168.143.246:34850 -> 130.192.182.100:443   | Duration: 50.192064558 s
With CPU: 0, 192.168.143.246:34852 -> 130.192.182.100:443   | Duration: 52.738194185 s
With CPU: 0, 192.168.143.246:59212 -> 149.154.165.120:80    | Duration: 0.120193721 s
With CPU: 0, 192.168.143.246:57442 ->  149.154.167.91:443   | Duration: 14.56656199 s
With CPU: 0, 192.168.143.246:51154 -> 149.154.165.120:443   | Duration: 3.649376757 s
With CPU: 0, 192.168.143.246:36364 -> 185.199.109.133:80    | Duration: 0.086066795 s
With CPU: 0, 192.168.143.246:57222 ->  130.192.55.225:443   | Duration: 5.287337205 s
With CPU: 0, 192.168.143.246:47874 ->  130.192.55.225:443   | Duration: 5.278658744 s
With CPU: 0, 192.168.143.246:42868 ->    13.89.179.10:443   | Duration: 0.662269854 s
With CPU: 0, 192.168.143.246:46900 ->  152.19.134.198:80    | Duration: 0.335594717 s
With CPU: 0, 192.168.143.246:49250 ->  130.192.55.225:443   | Duration: 5.275911804 s
With CPU: 0, 192.168.143.246:32834 ->  104.46.162.224:443   | Duration: 1.694873613 s
With CPU: 0, 192.168.143.246:32842 ->  104.46.162.224:443   | Duration: 1.059933126 s
With CPU: 0, 192.168.143.246:38904 ->     13.107.5.93:443   | Duration: 0.252695485 s
With CPU: 0, 192.168.143.246:38912 ->     13.107.5.93:443   | Duration: 0.202446232 s
With CPU: 0, 192.168.143.246:48338 ->     13.107.5.93:443   | Duration: 0.245242359 s
With CPU: 0, 192.168.143.246:48354 ->     13.107.5.93:443   | Duration: 0.26749527 s
With CPU: 0, 192.168.143.246:48364 ->     13.107.5.93:443   | Duration: 0.265320567 s
With CPU: 0, 192.168.143.246:45664 ->  130.192.55.225:443   | Duration: 5.306201373 s
With CPU: 0, 192.168.143.246:60212 -> 185.199.110.133:80    | Duration: 0.083123146 s
